accession_number;gene_names;protein_names;ksmbr_number;kust_number
Q1Q4Y4;;Sulfotransfer_1 domain-containing protein;KSMBR1_0304;kuste4320
Q1Q4Y5;rnpA;Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5);KSMBR1_0305;kuste4319
Q1Q4Y7;;TPR_REGION domain-containing protein;KSMBR1_0306;kuste4317
Q1Q4Y9;;Uncharacterized protein;KSMBR1_0307;kuste4315
A0A2C9CAN2;;Uncharacterized protein;KSMBR1_0308;
A0A2C9CAZ0;;Uncharacterized protein;KSMBR1_0309;
A0A2C9CAU9;;Uncharacterized protein;KSMBR1_0310;
A0A2C9CDM0;glgP_1;Uncharacterized protein;KSMBR1_0311;
A0A2C9CAC8;glgP_2;YHS domain-containing protein;KSMBR1_0313;
A0A2C9CAW2;;Uncharacterized protein;KSMBR1_0314;
A0A2C9CAX0;;Uncharacterized protein;KSMBR1_0315;
Q1Q4W7;sufI;Similar to multicopper oxidase sufI (EC 1.10.3.2);KSMBR1_0316;kuste4301
Q1Q4W8;czcC czcC_1;Similar to outermembrane (Copper) efflux protein;KSMBR1_0317;kuste4300
A0A2C9CAN8;;Uncharacterized protein;KSMBR1_0318;
Q1Q4X1;;Uncharacterized protein;KSMBR1_0319;kuste4297
Q1Q4X2;czcA czcA_1;Similar to Co/Zn/Cd resistance protein CzcA;KSMBR1_0320;kuste4296
A0A2C9CDM9;;Uncharacterized protein;KSMBR1_0321;
Q1Q4X4;;HlyD_D23 domain-containing protein;KSMBR1_0323;kuste4294
A0A2C9CAX8;;Uncharacterized protein;KSMBR1_0324;
Q1Q4V6;pacL;Strongly similar to cation-transporting ATPase PacL (EC 3.6.1.-);KSMBR1_0325;kuste4292
Q1Q4V7;;Radical_SAM domain-containing protein;KSMBR1_0326;kuste4291
A0A2C9CB99;cheY_3;Response regulatory domain-containing protein;KSMBR1_0327;
A0A2C9CAP4;;Putative cytochrome protein;KSMBR1_0328;
Q1Q4W1;;Uncharacterized protein;KSMBR1_0329;kuste4287
Q1Q4W2;;Similar to isoamylase (EC 3.2.1.68);KSMBR1_0330;kuste4286
A0A2C9CDP8;;HD-GYP domain-containing protein;KSMBR1_0331;
A0A2C9CBA5;;Uncharacterized protein;KSMBR1_0332;
Q1Q4U6;;Hypothetical cytochrome protein (Putative cytochrome protein);KSMBR1_0333;kuste4281
A0A2C9CAY7;czcC_2;Uncharacterized protein;KSMBR1_0334;
Q1Q4U8;blaR1;Regulatory protein BlaR1;KSMBR1_0335;kuste4279
Q1Q4U9;mecI;Similar to methicillin/oxacillin resistance regulatory protein MecI (Methicillin repressor);KSMBR1_0336;kuste4278
A0A2C9CBB1;;Uncharacterized protein;KSMBR1_0337;
A0A2C9CAQ4;lpxB;Lipid-A-disaccharide synthase (EC 2.4.1.182);KSMBR1_0338;
Q1Q4V2;dbpA dbpA_1;Similar to ATP-independent RNA helicase DbpA;KSMBR1_0339;kuste4275
Q1Q4V3;glgP glgP_3;Alpha-1,4 glucan phosphorylase (EC 2.4.1.1);KSMBR1_0340;kuste4274
Q1Q4V4;;Uncharacterized protein;KSMBR1_0341;kuste4273
Q1Q4T6;dbpA dbpA_2;Similar to ATP-independent RNA helicase DbpA;KSMBR1_0342;kuste4272
A0A2C9CAG5;;Elp3 domain-containing protein;KSMBR1_0343;
Q1Q4U2;;Similar to methylmalonyl-CoA epimerase (EC 5.1.99.1);KSMBR1_0344;kuste4266
A0A2C9CB02;rnhA_2;RNase H domain-containing protein;KSMBR1_0345;
Q1Q4U4;parA parA_1;Strongly similar ATPase involved in chromosome partitioning;KSMBR1_0346;kuste4264
Q1Q4S6;;DUF1858 domain-containing protein;KSMBR1_0347;kuste4263
Q1Q4S7;pgsA;Similar to phosphatidylglycerophosphate synthase (EC 2.7.8.5);KSMBR1_0348;kuste4262
A0A2C9CB37;miaB_1 rimO;Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO);KSMBR1_0349;
Q1Q4T0;ftsK;Strongly similar to DNA translocase cell division ATPase ftsK;KSMBR1_0350;kuste4259
Q1Q4T1;dut;Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase);KSMBR1_0351;kuste4258
Q1Q4T2;;Similar to 4-phosphopantotheoylcysteine decarboxylase (EC 4.1.1.36);KSMBR1_0352;kuste4257
Q1Q4T3;gmk;Guanylate kinase (EC 2.7.4.8);KSMBR1_0353;kuste4256
Q1Q4T4;;Uncharacterized protein;KSMBR1_0354;kuste4255
Q1Q4T5;secG;Protein-export membrane protein SecG;KSMBR1_0355;kuste4254
Q1Q4R7;tpiA;Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase);KSMBR1_0356;kuste4253
Q1Q4R8;pheA;Strongly similar to chorismate mutase / prephenate dehydratase (EC 4.2.1.51) (EC 5.4.99.5);KSMBR1_0357;kuste4252
Q1Q4R9;;NYN domain-containing protein;KSMBR1_0358;kuste4251
A0A2C9CB45;rncS rnc;Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III);KSMBR1_0359;
Q1Q4S1;;Uncharacterized protein;KSMBR1_0360;kuste4249
Q1Q4S2;;Uncharacterized protein;KSMBR1_0361;kuste4248
A0A2C9CBC8;fchA;FTCD_C domain-containing protein;KSMBR1_0362;
Q1Q4S4;ykuD;L,D-transpeptidase YkuD (EC 2.-.-.-);KSMBR1_0363;kuste4246
Q1Q4S5;motB motB_1;Similar to H+-driven flagellar motor component MotB;KSMBR1_0364;kuste4245
A0A2C9CB20;motB_2;Uncharacterized protein;KSMBR1_0365;
A0A2C9CAZ8;motB_3;MotB_plug domain-containing protein;KSMBR1_0366;
Q1Q4Q9;motA;Strongly similar to H+-driven flagellar motor component MotA;KSMBR1_0367;kuste4243
A0A2C9CAT4;;FeoA domain-containing protein;KSMBR1_0368;
A0A2C9CB56;;Uncharacterized protein;KSMBR1_0369;
Q1Q4R2;feoB;Similar to ferrous iron transport protein B (GTP binding);KSMBR1_0370;kuste4240
A0A2C9CDT3;;Uncharacterized protein;KSMBR1_0371;
Q1Q4R4;;Uncharacterized protein;KSMBR1_0372;kuste4238
A0A2C9CAJ1;;B12-binding domain-containing protein;KSMBR1_0373;
A0A2C9CB23;chsA;Uncharacterized protein;KSMBR1_0374;
A0A2C9CB30;;Uncharacterized protein;KSMBR1_0375;
Q1Q4Q2;hup;Strongly similar to DNA binding protein HU;KSMBR1_0376;kuste4231
Q1Q4Q3;;Strongly similar to GTP-binding protein TypA;KSMBR1_0377;kuste4230
Q1Q4Q6;;Uncharacterized protein;KSMBR1_0378;kuste4227
Q1Q4Q7;;Uncharacterized protein;KSMBR1_0379;kuste4226
Q1Q4N8;rfaL rfaL_1;Similar to lipid A core O-antigen ligase related enzyme;KSMBR1_0380;kuste4225
Q1Q4N9;;Similar to glycosyltransferase family 2 (EC 2.4.1.-);KSMBR1_0381;kuste4224
Q1Q4P0;;Similar to glycosyltransferase family 2 (EC 2.4.1.-);KSMBR1_0382;kuste4223
A0A2C9CAK1;mtfB_1;Glycos_transf_1 domain-containing protein;KSMBR1_0383;
A0A2C9CB32;;Uncharacterized protein;KSMBR1_0384;
A0A2C9CB42;kdkA_1;Protein kinase domain-containing protein;KSMBR1_0385;
A0A2C9CB15;;Uncharacterized protein;KSMBR1_0386;
A0A2C9CBF8;;Uncharacterized protein;KSMBR1_0387;
A0A2C9CAV0;;TPR_REGION domain-containing protein;KSMBR1_0388;
A0A2C9CB74;recD;Uncharacterized protein;KSMBR1_0389;
A0A2C9CB31;;Uncharacterized protein;KSMBR1_0390;
A0A2C9CDV2;;Uncharacterized protein;KSMBR1_0391;
Q1Q4L9;bioA;Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase);KSMBR1_0393;kuste4204
A0A2C9CB41;bioD;ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase);KSMBR1_0394;
A0A2C9CB47;;Uncharacterized protein;KSMBR1_0395;
Q1Q4M3;thiC thiC_1;Strongly similar to thiamine biosynthesis protein ThiC;KSMBR1_0396;kuste4200
A0A2C9CBH0;bchE_1;Elp3 domain-containing protein;KSMBR1_0397;
A0A2C9CAV7;tcmO;Uncharacterized protein;KSMBR1_0398;
A0A2C9CB84;;Uncharacterized protein;KSMBR1_0399;
A0A2C9CB46;nlaB;Lysophosphatidic acid acyltransferase (EC 2.3.1.51);KSMBR1_0400;
A0A2C9CDW4;;Uncharacterized protein;KSMBR1_0401;
Q1Q4L1;;Uncharacterized protein;KSMBR1_0402;kuste4193
Q1Q4L2;;Uncharacterized protein;KSMBR1_0403;kuste4192
A0A2C9CB50;pyrK_1;FAD-binding FR-type domain-containing protein;KSMBR1_0405;
Q1Q4L5;pyrD;Dihydroorotate dehydrogenase (DHOD) (DHODase) (DHOdehase) (EC 1.3.-.-);KSMBR1_0406;kuste4189
Q1Q4L6;;Peptidase_M48 domain-containing protein;KSMBR1_0407;kuste4188
Q1Q4L7;;Uncharacterized protein;KSMBR1_0408;kuste4187
Q1Q4K1;;Elp3 domain-containing protein;KSMBR1_0410;kuste4186
A0A2C9CB93;rfe_1;TPR_REGION domain-containing protein;KSMBR1_0411;
Q1Q4K5;mgtC;Similar to survival protein MgtC;KSMBR1_0412;kuste4182
A0A2C9CDX2;;Uncharacterized protein;KSMBR1_0413;
Q1Q4K7;;Uncharacterized protein;KSMBR1_0414;kuste4180
A0A2C9CAM9;KSMBR1_0415;UPF0313 protein;KSMBR1_0415;
Q1Q4J3;sugE sugE_1;Strongly similar to small multidrug resistance protein SugE;KSMBR1_0416;kuste4177
A0A2C9CB69;norM;Uncharacterized protein;KSMBR1_0417;
Q1Q4J7;lpsL lpsL_1;Strongly similar to UDP-glucuronate 5'-epimerase (EC 5.1.3.12);KSMBR1_0418;kuste4173
Q1Q4J8;mgtE;Similar to Mg2+ transporter MgtE;KSMBR1_0419;kuste4172
Q1Q4J9;;Uncharacterized protein;KSMBR1_0420;kuste4171
A0A2C9CBA3;gyrA_1;DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2);KSMBR1_0421;
Q1Q4I2;gyrB gyrB_1;Similar to DNA gyrase subunit B (EC 5.99.1.3);KSMBR1_0422;kuste4169
A0A2C9CDY1;nnrE;NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase);KSMBR1_0423;
Q1Q4I4;pykF;Pyruvate kinase (EC 2.7.1.40);KSMBR1_0424;kuste4167
Q1Q4I5;;Uncharacterized protein;KSMBR1_0425;kuste4166
Q1Q4I6;radC;Similar to DNA repair protein RadC;KSMBR1_0426;kuste4165
Q1Q4I7;;Uncharacterized protein;KSMBR1_0427;kuste4164
Q1Q4I8;;Poly(Hydroxyalcanoate) granule associated protein (Phasin);KSMBR1_0428;kuste4163
A0A2C9CBK0;ubiB;ABC1 domain-containing protein;KSMBR1_0429;
A0A2C9CAY4;xerD_2 xerC;Tyrosine recombinase XerC;KSMBR1_0430;
A0A2C9CBB2;;Uncharacterized protein;KSMBR1_0431;
A0A2C9CDY8;;Uncharacterized protein;KSMBR1_0433;
A0A2C9CBK5;;Fibronectin type-III domain-containing protein;KSMBR1_0434;
A0A2C9CAP6;;Uncharacterized protein;KSMBR1_0435;
A0A2C9CB75;;Uncharacterized protein;KSMBR1_0436;
A0A2C9CB91;;DNA/RNA helicase;KSMBR1_0437;
A0A2C9CB71;;Uncharacterized protein;KSMBR1_0438;
A0A2C9CBK8;;Uncharacterized protein;KSMBR1_0439;
A0A2C9CAZ3;;Uncharacterized protein;KSMBR1_0440;
A0A2C9CBB8;;Uncharacterized protein;KSMBR1_0441;
A0A2C9CB86;;Fido domain-containing protein;KSMBR1_0442;
Q1Q4G3;;Fic_N domain-containing protein;KSMBR1_0443;kuste4148
A0A2C9CBL3;;Uncharacterized protein;KSMBR1_0444;
A0A2C9CAQ5;;Aldo_ket_red domain-containing protein;KSMBR1_0445;
Q1Q4G9;;Hemerythrin domain-containing protein;KSMBR1_0446;kuste4142
Q1Q4H0;rsxB;Electron transport complex subunit RsxB;KSMBR1_0447;kuste4141
Q1Q4H1;nirF;Similar to heme d 1 biosynthesis protein NirF;KSMBR1_0448;kuste4140
A0A2C9CBL8;nirJ_1;Radical_SAM domain-containing protein;KSMBR1_0449;
Q1Q4F3;nirN;Conserved hypothetical nirN maturation protein;KSMBR1_0450;kuste4138
A0A2C9CBC5;;Putative mono heme cytochrome nirC;KSMBR1_0451;
Q1Q4F5;nirS;Strongly similar to cd1 nitrite reductase NirS (EC 1.7.2.1) (EC 1.7.99.3);KSMBR1_0452;kuste4136
Q1Q4F6;;Uncharacterized protein;KSMBR1_0453;kuste4135
Q1Q4F8;;Uncharacterized protein;KSMBR1_0454;kuste4133
Q1Q4G0;;Uncharacterized protein;KSMBR1_0455;kuste4131
A0A2C9CB94;;Response regulatory domain-containing protein;KSMBR1_0456;
Q1Q4E2;;Response regulatory domain-containing protein;KSMBR1_0457;kuste4129
Q1Q4E3;;Uncharacterized protein;KSMBR1_0458;kuste4128
Q1Q4E4;;Uncharacterized protein;KSMBR1_0459;kuste4127
A0A2C9CB12;;Usp domain-containing protein;KSMBR1_0460;
A0A2C9CBD5;;Sarcosine/dimethylglycine N-methyltransferase;KSMBR1_0461;
Q1Q4F0;;Glycine/sarcosine N-methyltransferase (Strongly similar to glycine-sarcosine-dimethylglycine methyltransferase);KSMBR1_0462;kuste4121
A0A2C9CE18;;Uncharacterized protein;KSMBR1_0463;
A0A2C9CBN1;;Uncharacterized protein;KSMBR1_0464;
A0A2C9CAS5;;Uncharacterized protein;KSMBR1_0465;
A0A2C9CBA2;;PA14 domain-containing protein;KSMBR1_0466;
Q1Q4D8;;Conserved hypothtical protein;KSMBR1_0467;kuste4113
A0A2C9CB97;;Uncharacterized protein;KSMBR1_0468;
Q1Q4E0;;Uncharacterized protein;KSMBR1_0469;kuste4111
Q1PVI0;;Similar to E. coli insertion element IS186;KSMBR1_0470 KSMBR1_2577 KSMBR1_2843 KSMBR1_3715 KSMBR1_4005;kustc0493
A0A2C9CBA8;;Putative transposase;KSMBR1_0472;
Q1Q4C6;cas2;CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-);KSMBR1_0473;kuste4106
Q1Q4C8;cas1;CRISPR-associated endonuclease Cas1 (EC 3.1.-.-);KSMBR1_0474;kuste4104
A0A2C9CAT2;;CRISPR-associated exonuclease Cas4 (EC 3.1.12.1);KSMBR1_0475;
A0A2C9CBB4;;Fido domain-containing protein;KSMBR1_0476;
Q1Q4D1;;Uncharacterized protein;KSMBR1_0477;kuste4101
A0A2C9CBB5;;Uncharacterized protein;KSMBR1_0478;
Q1Q4B5;;Uncharacterized protein;KSMBR1_0479;kuste4099
Q1Q4B6;;Uncharacterized protein;KSMBR1_0480;kuste4098
A0A2C9CBF3;;Uncharacterized protein;KSMBR1_0481;
Q1Q4B8;;Uncharacterized protein;KSMBR1_0482;kuste4096
Q1Q4B9;;Uncharacterized protein;KSMBR1_0483;kuste4095
A0A2C9CBQ1;;Uncharacterized protein;KSMBR1_0484;
A0A2C9CAU1;;CRISPR associated protein Cas6;KSMBR1_0485;
A0A2C9CBQ2;;Uncharacterized protein;KSMBR1_0489;
Q1Q4A5;parA parA_2;Similar to ATPase involved in chromosome partitioning;KSMBR1_0493;kuste4091
A0A2C9CBR1;;Uncharacterized protein;KSMBR1_0494;
A0A2C9CAV1;cpg2;M20_dimer domain-containing protein;KSMBR1_0495;
A0A2C9CBE4;;Uncharacterized protein;KSMBR1_0496;
Q1Q4B1;znuB;High-affinity zinc uptake system membrane protein ZnuB;KSMBR1_0497;kuste4085
A0A2C9CBD6;znuC;ABC transporter domain-containing protein;KSMBR1_0498;
A0A2C9CBR2;;Uncharacterized protein;KSMBR1_0499;
A0A2C9CB53;troA;Uncharacterized protein;KSMBR1_0500;
A0A2C9CBH6;;Uncharacterized protein;KSMBR1_0501;
A0A2C9CBD3;;Uncharacterized protein;KSMBR1_0502;
Q1Q498;;Uncharacterized protein;KSMBR1_0503;kuste4080
A0A2C9CBS2;sac1;Uncharacterized protein;KSMBR1_0504;
A0A2C9CAV9;;Uncharacterized protein;KSMBR1_0505;
A0A2C9CBF2;;Uncharacterized protein;KSMBR1_0506;
Q1Q4A2;;Uncharacterized protein;KSMBR1_0507;kuste4076
A0A2C9CBE3;;Uncharacterized protein;KSMBR1_0508;
A0A2C9CBS1;;Uncharacterized protein;KSMBR1_0509;
A0A2C9CB63;;Uncharacterized protein;KSMBR1_0510;
A0A2C9CBI6;;Uncharacterized protein;KSMBR1_0511;
A0A2C9CBE5;;Uncharacterized protein;KSMBR1_0512;
A0A2C9CE64;;Uncharacterized protein;KSMBR1_0513;
A0A2C9CAW8;;Uncharacterized protein;KSMBR1_0515;
Q1PVC1;;Putative transposase;KSMBR1_0516 KSMBR1_0540 KSMBR1_1087 KSMBR1_2582 KSMBR1_3334 KSMBR1_3883 KSMBR1_3898;kustc0422
A0A2C9CBF6;;Uncharacterized protein;KSMBR1_0517;
A0A2C9CBE7;;Uncharacterized protein;KSMBR1_0518;
A0A2C9CBT1;;Uncharacterized protein;KSMBR1_0519;
A0A2C9CB72;;Putative Alkaline phosphatase (EC 3.1.3.1);KSMBR1_0520;
A0A2C9CBJ3;;LamGL domain-containing protein;KSMBR1_0521;
A0A2C9CBF5;;Uncharacterized protein;KSMBR1_0522;
A0A2C9CBT7;;Uncharacterized protein;KSMBR1_0524;
A0A2C9CAX7;tuaH_1;Teichuronic acid biosynthesis glycosyltransferase TuaH (EC 2.4.-.-);KSMBR1_0525;
A0A2C9CBG9;;Uncharacterized protein;KSMBR1_0526;
A0A2C9CBG5;;Glyco_trans_2-like domain-containing protein;KSMBR1_0527;
A0A2C9CBG3;;Phosphotransferase enzyme family protein;KSMBR1_0528;
A0A2C9CBT8;wzt;ABC transporter domain-containing protein;KSMBR1_0529;
A0A2C9CB83;wzm;Transport permease protein;KSMBR1_0530;
A0A2C9CBL6;rfbA_1;Strongly similar to glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24);KSMBR1_0531;
A0A2C9CBF9;;Methyltransferase domain protein;KSMBR1_0532;
A0A2C9CE78;;Uncharacterized protein;KSMBR1_0533;
A0A2C9CBU8;;Uncharacterized protein;KSMBR1_0534;
A0A2C9CAY9;;Uncharacterized protein;KSMBR1_0535;
A0A2C9CBH8;ilvE_2;Uncharacterized protein;KSMBR1_0536;
A0A2C9CBH1;;UDP-glucose 6-dehydrogenase (EC 1.1.1.22);KSMBR1_0537;
A0A2C9CBH7;;Epimerase domain-containing protein;KSMBR1_0538;
A0A2C9CBU9;rfbF;Strongly similar to glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33);KSMBR1_0539;
A0A2C9CBM9;;Fibronectin type-III domain-containing protein;KSMBR1_0541;
A0A2C9CBH2;;Sulfotransferase domain protein;KSMBR1_0542;
A0A2C9CE88;capM_1;Uncharacterized protein;KSMBR1_0543;
A0A2C9CBV7;;Uncharacterized protein;KSMBR1_0544;
A0A2C9CB00;;Uncharacterized protein;KSMBR1_0545;
A0A2C9CBJ7;nirJ_2;Uncharacterized protein;KSMBR1_0546;
A0A2C9CBI1;;Methyltransferase domain protein;KSMBR1_0547;
A0A2C9CBI7;;Uncharacterized protein;KSMBR1_0548;
A0A2C9CBW2;tuaH_2;Teichuronic acid biosynthesis glycosyltransferase TuaH (EC 2.4.-.-);KSMBR1_0549;
A0A2C9CBA0;rfaL_2;Uncharacterized protein;KSMBR1_0550;
A0A2C9CBN9;;Glyco_trans_2-like domain-containing protein;KSMBR1_0551;
A0A2C9CBI3;;Glyco_trans_2-like domain-containing protein;KSMBR1_0552;
A0A2C9CE98;;Uncharacterized protein;KSMBR1_0553;
A0A2C9CBW6;exoP_1;Wzz domain-containing protein;KSMBR1_0554;
A0A2C9CB09;wza;Uncharacterized protein;KSMBR1_0555;
A0A2C9CBK7;;Uncharacterized protein;KSMBR1_0556;
A0A2C9CBI9;;Uncharacterized protein;KSMBR1_0557;
Q1Q6T5;gabD;Similar to succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16);KSMBR1_0558;kuste2543
Q1Q6T6;ilvX;Similar to acetolactate synthase (EC 4.1.3.18);KSMBR1_0559;kuste2542
A0A2C9CBA7;fliA_1;Strongly similar to RNA polymerase sigma factor for flagellar operon;KSMBR1_0560;
A0A2C9CBP8;fliA_2;Strongly similar to RNA polymerase sigma factor for flagellar operon;KSMBR1_0561;
A0A2C9CBJ0;;Uncharacterized protein;KSMBR1_0562;
A0A2C9CEA8;;Uncharacterized protein;KSMBR1_0563;
A0A2C9CBX6;motR_1;Strong similarity to bacterial motility regulatory protein MotR;KSMBR1_0564;
A0A2C9CB19;motR_2;Strong similarity to bacterial motility regulatory protein MotR;KSMBR1_0565;
A0A2C9CBL2;flhA_1;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0566;
A0A2C9CBJ8;flhA_2;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0567;
A0A2C9CBK1;flhA_3;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0568;
A0A2C9CBY0;flhA_4;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0569;
A0A2C9CBC3;flhA_5;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0570;
A0A2C9CBQ8;flhA_6;Strong similarity to flagellar biosynthesis protein FlhA;KSMBR1_0571;
A0A2C9CBJ9;flhB_1;Uncharacterized protein;KSMBR1_0572;
A0A2C9CEB7;flhB_2;Uncharacterized protein;KSMBR1_0573;
A0A2C9CBY6;flhB_3;Uncharacterized protein;KSMBR1_0574;
A0A2C9CB29;fliR;Uncharacterized protein;KSMBR1_0575;
A0A2C9CBM2;fliQ;Uncharacterized protein;KSMBR1_0576;
A0A2C9CBK2;fliP;Strongly similar to polar flagellar assembly protein FliP;KSMBR1_0577;
A0A2C9CBK4;fliN;Strong similar to flagellar motor switch protein FliN;KSMBR1_0578;
A0A2C9CBZ0;fliM_1;FliMN_C domain-containing protein;KSMBR1_0579;
A0A2C9CBD0;fliM_2;Uncharacterized protein;KSMBR1_0580;
A0A2C9CBR7;;Flagellar protein FliL;KSMBR1_0581;
Q1Q6R6;;Uncharacterized protein;KSMBR1_0582;kuste2525
A0A2C9CEC8;;Uncharacterized protein;KSMBR1_0583;
A0A2C9CBZ6;fliI;Strongly similar to flagellar ATPase fliI;KSMBR1_0584;
Q1Q6R9;;Flagellar assembly protein H;KSMBR1_0585;kuste2522
Q1Q6S0;FliG fliG;Similar to Flagellar Rotor Protein FliG;KSMBR1_0586;kuste2521
Q1Q6S1;FliF fliF;Flagellar M-ring protein;KSMBR1_0587;kuste2520
A0A2C9CBL9;fliE;Flagellar hook-basal body complex protein FliE;KSMBR1_0588;
A0A2C9CC01;;Uncharacterized protein;KSMBR1_0589;
A0A2C9CBD9;;Uncharacterized protein;KSMBR1_0590;
Q1PWT6;tnpA tnpA_19 tnpA_4;Predicted orf (Similar to transposase);KSMBR1_0591 KSMBR1_3734;kustc0953
Q1Q6R0;PheA;Similar to cyclohexadienyl dehydrogenase/5-enolpyruvylshikmate 3-P synthase;KSMBR1_0592;kuste2512
A0A2C9CED7;purC purL;Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II);KSMBR1_0593;
Q1Q6R2;purQ;Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I);KSMBR1_0594;kuste2510
A0A2C9CB48;nuoE_1;Uncharacterized protein;KSMBR1_0595;
A0A2C9CBP2;nuoF_1;Strongly similar to proton-translocating NADH dehydrogenase I, 51 kDa subunit (NuoF);KSMBR1_0596;
Q1Q6P7;;HD-GYP domain-containing protein;KSMBR1_0597;kuste2506
A0A2C9CBM5;;Phosphoesterase (EC 3.1.4.-);KSMBR1_0598;
A0A2C9CC10;anfA nifA;Uncharacterized protein;KSMBR1_0599;
Q1Q6Q1;hsp21;Similar to small heat shock protein;KSMBR1_0600;kuste2502
A0A2C9CBU4;hsp1;SHSP domain-containing protein;KSMBR1_0601;
A0A2C9CBM8;hsp2;SHSP domain-containing protein;KSMBR1_0602;
A0A2C9CEE7;;Uncharacterized protein;KSMBR1_0603;
A0A2C9CB54;Hsp70 grpE;Protein GrpE (HSP-70 cofactor);KSMBR1_0605;
A0A2C9CBQ3;hsp70 dnaK;Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70);KSMBR1_0606;
A0A2C9CBN5;;Uncharacterized protein;KSMBR1_0607;
A0A2C9CBN7;cbiB cobD;Cobalamin biosynthesis protein CobD;KSMBR1_0608;
A0A2C9CC20;;Uncharacterized protein;KSMBR1_0609;
A0A2C9CBG4;;Uncharacterized protein;KSMBR1_0610;
A0A2C9CBV1;rfaC;Uncharacterized protein;KSMBR1_0611;
A0A2C9CBN6;;Putative histidine kinase protein;KSMBR1_0612;
Q1Q2T5;phoB phoB_1;Strongly similar to two-component response regulator OmpR/PhoB family (Strongly similar to two-component response regulator OmpR/PhoB family protein);KSMBR1_0613;kuste3562
A0A2C9CC24;;Uncharacterized protein;KSMBR1_0614;
Q1Q2S7;degP degP_1;Similar to serine proteinase DegP;KSMBR1_0615;kuste3560
A0A2C9CBR6;;Uncharacterized protein;KSMBR1_0616;
A0A2C9CBP7;;ABC-type uncharacterized transport system;KSMBR1_0617;
Q1Q2T0;;Uncharacterized protein;KSMBR1_0618;kuste3557
Q1Q2T1;;Similar to ABC-type transport system (ATPase component);KSMBR1_0619;kuste3556
Q1Q2T3;rpoZ;DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega);KSMBR1_0620;kuste3554
Q1Q2R6;cysK;Strongly similar to cysteine synthase (O-acetylserine sulfhydrylase) (EC 2.5.1.47) (EC 4.2.99.8);KSMBR1_0621;kuste3552
Q1Q2R7;cysE;Strongly similar to serine acetyltransferase (EC 2.3.1.30);KSMBR1_0622;kuste3551
A0A2C9CEG7;;Uncharacterized protein;KSMBR1_0623;
Q1Q2R8;fba fba_1;Similar to fructose-1,6-biphosphate aldolase class I (EC 4.1.2.13);KSMBR1_0624;kuste3550
Q1Q2R9;gutB;Similar to sorbitol dehydrogenase (EC 1.1.1.14);KSMBR1_0625;kuste3549
A0A2C9CBS6;rfe_2;TPR_REGION domain-containing protein;KSMBR1_0626;
A0A2C9CBQ6;csrA;Translational regulator CsrA;KSMBR1_0627;
A0A2C9CBQ4;fliW;Flagellar assembly factor FliW;KSMBR1_0628;
Q1Q2S5;flgL;Similar to flagellar hook-associated protein FlgL;KSMBR1_0629;kuste3543
A0A2C9CBH9;flgK;Uncharacterized protein;KSMBR1_0630;
A0A2C9CBX2;flgN;Uncharacterized protein;KSMBR1_0631;
A0A2C9CBR0;;Flagellar rod assembly protein/muramidase FlgJ;KSMBR1_0632;
